time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-05 00:00:00+00:00,58,36,13,11
2023-02-06 00:00:00+00:00,21,21,47,18
2023-02-07 00:00:00+00:00,60,38,55,10
2023-02-08 00:00:00+00:00,62,43,27,12
2023-02-09 00:00:00+00:00,22,19,89,13
2023-02-10 00:00:00+00:00,3,3,39,12
2023-02-11 00:00:00+00:00,1,1,215,16
2023-02-12 00:00:00+00:00,3,2,19,6
2023-02-13 00:00:00+00:00,5,5,100,17
2023-02-14 00:00:00+00:00,4,1,31,14
2023-02-15 00:00:00+00:00,3,2,28,16
2023-02-16 00:00:00+00:00,10,6,113,26
2023-02-17 00:00:00+00:00,1,1,57,11
2023-02-18 00:00:00+00:00,0,0,59,16
2023-02-19 00:00:00+00:00,3,2,15,9
2023-02-20 00:00:00+00:00,1,1,22,14
2023-02-21 00:00:00+00:00,0,0,15,13
2023-02-22 00:00:00+00:00,0,0,88,22
2023-02-23 00:00:00+00:00,1,1,58,16
2023-02-24 00:00:00+00:00,9,4,49,13
2023-02-25 00:00:00+00:00,39,35,22,14
2023-02-26 00:00:00+00:00,59,38,13,9
2023-02-27 00:00:00+00:00,68,48,60,21
2023-02-28 00:00:00+00:00,19,14,16,10
2023-03-01 00:00:00+00:00,17,15,43,13
2023-03-02 00:00:00+00:00,63,39,252,19
2023-03-03 00:00:00+00:00,58,35,50,17
2023-03-04 00:00:00+00:00,61,37,13,9
2023-03-05 00:00:00+00:00,60,38,17,9
2023-03-06 00:00:00+00:00,19,17,39,13
2023-03-07 00:00:00+00:00,1,1,20,11
2023-03-08 00:00:00+00:00,25,23,22,12
2023-03-09 00:00:00+00:00,62,48,11,6
2023-03-10 00:00:00+00:00,60,39,111,14
2023-03-11 00:00:00+00:00,61,41,38,14
2023-03-12 00:00:00+00:00,21,21,23,6
2023-03-13 00:00:00+00:00,0,0,22,12
2023-03-14 00:00:00+00:00,0,0,24,10
2023-03-15 00:00:00+00:00,0,0,8,7
2023-03-16 00:00:00+00:00,0,0,70,9
2023-03-17 00:00:00+00:00,26,21,34,14
2023-03-18 00:00:00+00:00,71,42,21,9
2023-03-19 00:00:00+00:00,66,37,9,5
2023-03-20 00:00:00+00:00,22,18,153,13
2023-03-21 00:00:00+00:00,0,0,25,15
2023-03-22 00:00:00+00:00,0,0,9,6
2023-03-23 00:00:00+00:00,2,1,32,12
2023-03-24 00:00:00+00:00,1,1,23,13
2023-03-25 00:00:00+00:00,69,48,12,4
2023-03-26 00:00:00+00:00,62,35,10,8
2023-03-27 00:00:00+00:00,17,14,20,16
2023-03-28 00:00:00+00:00,3,2,23,17
2023-03-29 00:00:00+00:00,0,0,11,10
2023-03-30 00:00:00+00:00,4,3,22,17
2023-03-31 00:00:00+00:00,1,1,17,8
2023-04-01 00:00:00+00:00,37,30,14,6
2023-04-02 00:00:00+00:00,60,38,3,2
2023-04-03 00:00:00+00:00,64,40,40,15
2023-04-04 00:00:00+00:00,18,14,31,20
2023-04-05 00:00:00+00:00,0,0,20,11
2023-04-06 00:00:00+00:00,0,0,27,12
2023-04-07 00:00:00+00:00,0,0,8,8
2023-04-08 00:00:00+00:00,0,0,22,11
2023-04-09 00:00:00+00:00,0,0,19,8
2023-04-10 00:00:00+00:00,2,1,22,11
2023-04-11 00:00:00+00:00,0,0,20,15
2023-04-12 00:00:00+00:00,3,3,11,9
2023-04-13 00:00:00+00:00,59,40,30,13
2023-04-14 00:00:00+00:00,58,37,16,8
2023-04-15 00:00:00+00:00,59,40,63,7
2023-04-16 00:00:00+00:00,18,15,14,12
2023-04-17 00:00:00+00:00,3,2,27,7
2023-04-18 00:00:00+00:00,1,1,30,14
2023-04-19 00:00:00+00:00,0,0,45,11
2023-04-20 00:00:00+00:00,2,2,39,8
2023-04-21 00:00:00+00:00,0,0,17,13
2023-04-22 00:00:00+00:00,59,41,46,8
2023-04-23 00:00:00+00:00,61,32,12,10
2023-04-24 00:00:00+00:00,18,15,100,10
2023-04-25 00:00:00+00:00,0,0,23,10
2023-04-26 00:00:00+00:00,0,0,16,12
2023-04-27 00:00:00+00:00,42,34,9,7
2023-04-28 00:00:00+00:00,59,34,78,10
2023-04-29 00:00:00+00:00,61,33,32,14
2023-04-30 00:00:00+00:00,18,11,45,13
2023-05-01 00:00:00+00:00,0,0,12,11
2023-05-02 00:00:00+00:00,26,20,8,7
2023-05-03 00:00:00+00:00,61,41,30,13
2023-05-04 00:00:00+00:00,63,41,25,8
2023-05-05 00:00:00+00:00,50,35,69,12
2023-05-06 00:00:00+00:00,60,40,111,7
2023-05-07 00:00:00+00:00,59,34,20,9
2023-05-08 00:00:00+00:00,17,15,9,8
2023-05-09 00:00:00+00:00,1,1,15,13
2023-05-10 00:00:00+00:00,0,0,33,16
2023-05-11 00:00:00+00:00,2,2,130,11
2023-05-12 00:00:00+00:00,1,1,21,11
2023-05-13 00:00:00+00:00,1,1,13,10
2023-05-14 00:00:00+00:00,51,34,20,8
2023-05-15 00:00:00+00:00,61,40,16,10
2023-05-16 00:00:00+00:00,18,16,164,13
2023-05-17 00:00:00+00:00,25,23,23,15
2023-05-18 00:00:00+00:00,58,42,12,6
2023-05-19 00:00:00+00:00,61,40,38,13
2023-05-20 00:00:00+00:00,63,45,14,7
2023-05-21 00:00:00+00:00,62,42,30,9
2023-05-22 00:00:00+00:00,19,17,19,14
2023-05-23 00:00:00+00:00,1,1,32,15
2023-05-24 00:00:00+00:00,1,1,31,11
2023-05-25 00:00:00+00:00,1,1,24,14
2023-05-26 00:00:00+00:00,11,11,25,11
2023-05-27 00:00:00+00:00,0,0,31,13
2023-05-28 00:00:00+00:00,1,1,20,11
2023-05-29 00:00:00+00:00,1,1,49,16
2023-05-30 00:00:00+00:00,1,1,29,15
2023-05-31 00:00:00+00:00,0,0,14,8
2023-06-01 00:00:00+00:00,1,1,54,11
2023-06-02 00:00:00+00:00,0,0,20,13
2023-06-03 00:00:00+00:00,2,2,31,13
2023-06-04 00:00:00+00:00,1,1,20,11
2023-06-05 00:00:00+00:00,1,1,30,7
2023-06-06 00:00:00+00:00,2,2,13,9
2023-06-07 00:00:00+00:00,1,1,23,11
2023-06-08 00:00:00+00:00,0,0,21,10
2023-06-09 00:00:00+00:00,0,0,33,11
2023-06-10 00:00:00+00:00,0,0,40,10
2023-06-11 00:00:00+00:00,2,1,32,8
2023-06-12 00:00:00+00:00,122,81,141,23
2023-06-13 00:00:00+00:00,149,87,38,22
2023-06-14 00:00:00+00:00,89,59,48,17
2023-06-15 00:00:00+00:00,61,45,36,14
2023-06-16 00:00:00+00:00,19,18,25,11
2023-06-17 00:00:00+00:00,2,2,106,12
2023-06-18 00:00:00+00:00,0,0,32,16
2023-06-19 00:00:00+00:00,44,34,58,22
2023-06-20 00:00:00+00:00,87,53,47,18
2023-06-21 00:00:00+00:00,33,29,18,12
2023-06-22 00:00:00+00:00,4,3,27,14
2023-06-23 00:00:00+00:00,0,0,44,12
2023-06-24 00:00:00+00:00,138,74,23,7
2023-06-25 00:00:00+00:00,89,47,38,8
2023-06-26 00:00:00+00:00,17,16,11,6
2023-06-27 00:00:00+00:00,13,11,31,18
2023-06-28 00:00:00+00:00,58,43,12,9
2023-06-29 00:00:00+00:00,61,44,15,8
2023-06-30 00:00:00+00:00,19,15,30,11
2023-07-01 00:00:00+00:00,1,1,32,13
2023-07-02 00:00:00+00:00,1,1,17,11
2023-07-03 00:00:00+00:00,9,9,59,11
2023-07-04 00:00:00+00:00,67,44,55,17
2023-07-05 00:00:00+00:00,149,84,17,13
2023-07-06 00:00:00+00:00,86,62,8,5
2023-07-07 00:00:00+00:00,60,42,15,9
2023-07-08 00:00:00+00:00,63,43,51,11
2023-07-09 00:00:00+00:00,60,36,21,10
2023-07-10 00:00:00+00:00,60,46,15,13
2023-07-11 00:00:00+00:00,0,0,83,12
2023-07-12 00:00:00+00:00,0,0,49,9
2023-07-13 00:00:00+00:00,4,4,62,17
2023-07-14 00:00:00+00:00,5,4,42,14
2023-07-15 00:00:00+00:00,3,3,11,8
2023-07-16 00:00:00+00:00,1,1,53,34
2023-07-17 00:00:00+00:00,2,2,90,32
2023-07-18 00:00:00+00:00,5,3,82,12
2023-07-19 00:00:00+00:00,0,0,31,15
2023-07-20 00:00:00+00:00,0,0,18,9
2023-07-21 00:00:00+00:00,0,0,92,27
2023-07-22 00:00:00+00:00,0,0,63,19
2023-07-23 00:00:00+00:00,0,0,107,17
2023-07-24 00:00:00+00:00,2,2,44,16
2023-07-25 00:00:00+00:00,1,1,35,13
2023-07-26 00:00:00+00:00,3,2,91,30
2023-07-27 00:00:00+00:00,0,0,121,28
2023-07-28 00:00:00+00:00,3,2,34,22
2023-07-29 00:00:00+00:00,1,1,33,8
2023-07-30 00:00:00+00:00,1,1,13,11
2023-07-31 00:00:00+00:00,1,1,30,24
2023-08-01 00:00:00+00:00,0,0,58,30
2023-08-02 00:00:00+00:00,1,1,13,6
2023-08-03 00:00:00+00:00,0,0,45,20
2023-08-04 00:00:00+00:00,0,0,29,9
2023-08-05 00:00:00+00:00,2,2,37,21
2023-08-06 00:00:00+00:00,1,1,30,23
2023-08-07 00:00:00+00:00,9,8,18,9
2023-08-08 00:00:00+00:00,5,5,41,10
2023-08-09 00:00:00+00:00,1,1,17,11
2023-08-10 00:00:00+00:00,1,1,67,34
2023-08-11 00:00:00+00:00,0,0,82,19
2023-08-12 00:00:00+00:00,0,0,44,15
2023-08-13 00:00:00+00:00,1,1,52,26
2023-08-14 00:00:00+00:00,28,23,68,31
2023-08-15 00:00:00+00:00,4,2,63,20
2023-08-16 00:00:00+00:00,1,1,95,25
2023-08-17 00:00:00+00:00,3,3,43,22
2023-08-18 00:00:00+00:00,3,3,23,12
2023-08-19 00:00:00+00:00,0,0,4,4
2023-08-20 00:00:00+00:00,0,0,15,9
2023-08-21 00:00:00+00:00,4,4,140,60
2023-08-22 00:00:00+00:00,0,0,152,59
2023-08-23 00:00:00+00:00,1,1,95,22
2023-08-24 00:00:00+00:00,6,2,44,11
2023-08-25 00:00:00+00:00,1,1,48,11
2023-08-26 00:00:00+00:00,0,0,62,11
2023-08-27 00:00:00+00:00,0,0,94,10
2023-08-28 00:00:00+00:00,10,9,1013,136
