time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-15 00:00:00+00:00,0,0,2,2
2023-12-16 00:00:00+00:00,0,0,1,1
2023-12-17 00:00:00+00:00,1,1,26,2
2023-12-18 00:00:00+00:00,0,0,1,1
2023-12-19 00:00:00+00:00,2,2,3,2
2023-12-21 00:00:00+00:00,0,0,7,3
2023-12-22 00:00:00+00:00,2,2,9,1
2023-12-26 00:00:00+00:00,0,0,5,1
2023-12-27 00:00:00+00:00,0,0,19,1
2023-12-28 00:00:00+00:00,2,1,0,0
2023-12-29 00:00:00+00:00,0,0,7,2
2023-12-30 00:00:00+00:00,1,1,4,1
2024-01-01 00:00:00+00:00,2,1,1,1
2024-01-05 00:00:00+00:00,0,0,15,2
2024-01-06 00:00:00+00:00,2,1,0,0
2024-01-08 00:00:00+00:00,2,1,1,1
2024-01-09 00:00:00+00:00,1,1,0,0
2024-01-10 00:00:00+00:00,1,1,0,0
2024-01-12 00:00:00+00:00,1,1,0,0
2024-01-13 00:00:00+00:00,2,2,3,1
2024-01-14 00:00:00+00:00,0,0,4,3
2024-01-15 00:00:00+00:00,1,1,0,0
2024-01-16 00:00:00+00:00,1,1,74,1
2024-01-17 00:00:00+00:00,1,1,0,0
2024-01-20 00:00:00+00:00,0,0,1,1
2024-01-22 00:00:00+00:00,0,0,4,3
2024-01-24 00:00:00+00:00,1,1,1,1
2024-01-26 00:00:00+00:00,0,0,1,1
2024-01-28 00:00:00+00:00,0,0,27,3
2024-01-29 00:00:00+00:00,1,1,12,2
2024-01-31 00:00:00+00:00,2,2,1,1
2024-02-02 00:00:00+00:00,0,0,49,2
2024-02-05 00:00:00+00:00,0,0,8,2
2024-02-07 00:00:00+00:00,0,0,2,1
2024-02-19 00:00:00+00:00,0,0,1,1
2024-02-22 00:00:00+00:00,0,0,1,1
2024-02-27 00:00:00+00:00,2,1,2,2
2024-02-28 00:00:00+00:00,0,0,27,2
2024-02-29 00:00:00+00:00,2,1,1,1
2024-03-01 00:00:00+00:00,1,1,0,0
2024-03-05 00:00:00+00:00,0,0,1,1
2024-03-07 00:00:00+00:00,1,1,2,1
2024-03-08 00:00:00+00:00,1,1,6,2
2024-03-10 00:00:00+00:00,1,1,0,0
2024-03-12 00:00:00+00:00,0,0,1,1
2024-03-13 00:00:00+00:00,1,1,0,0
2024-03-15 00:00:00+00:00,1,1,2,1
2024-03-20 00:00:00+00:00,0,0,10,3
2024-03-23 00:00:00+00:00,1,1,0,0
2024-03-24 00:00:00+00:00,0,0,27,2
2024-03-26 00:00:00+00:00,0,0,17,3
2024-03-28 00:00:00+00:00,1,1,1,1
2024-03-29 00:00:00+00:00,1,1,2,2
2024-03-30 00:00:00+00:00,0,0,1,1
2024-04-02 00:00:00+00:00,0,0,112,1
2024-04-03 00:00:00+00:00,0,0,1,1
2024-04-05 00:00:00+00:00,0,0,15,2
2024-04-06 00:00:00+00:00,0,0,1,1
2024-04-07 00:00:00+00:00,0,0,2,1
2024-04-08 00:00:00+00:00,2,1,5,1
2024-04-10 00:00:00+00:00,0,0,2,2
2024-04-11 00:00:00+00:00,2,1,4,2
2024-04-16 00:00:00+00:00,0,0,1,1
2024-04-17 00:00:00+00:00,1,1,0,0
2024-04-18 00:00:00+00:00,0,0,2,1
2024-04-19 00:00:00+00:00,0,0,1,1
2024-04-20 00:00:00+00:00,0,0,1,1
2024-04-21 00:00:00+00:00,0,0,1,1
2024-04-22 00:00:00+00:00,1,1,0,0
2024-04-24 00:00:00+00:00,1,1,0,0
2024-04-26 00:00:00+00:00,0,0,1,1
2024-04-27 00:00:00+00:00,0,0,1,1
2024-04-29 00:00:00+00:00,1,1,0,0
2024-04-30 00:00:00+00:00,0,0,1,1
2024-05-01 00:00:00+00:00,0,0,2,2
2024-05-02 00:00:00+00:00,0,0,2,2
2024-05-04 00:00:00+00:00,2,1,10,1
2024-05-05 00:00:00+00:00,0,0,1,1
2024-05-06 00:00:00+00:00,0,0,1,1
2024-05-07 00:00:00+00:00,1,1,39,4
2024-05-08 00:00:00+00:00,0,0,21,3
2024-05-09 00:00:00+00:00,1,1,11,1
2024-05-11 00:00:00+00:00,0,0,1,1
2024-05-12 00:00:00+00:00,1,1,0,0
2024-05-13 00:00:00+00:00,0,0,2,2
2024-05-16 00:00:00+00:00,0,0,1,1
2024-05-18 00:00:00+00:00,0,0,3,2
2024-05-21 00:00:00+00:00,0,0,6,1
2024-05-23 00:00:00+00:00,0,0,1,1
2024-05-24 00:00:00+00:00,0,0,1,1
2024-05-25 00:00:00+00:00,1,1,0,0
